ID,Hours,Date,Machine ID,Department,MSEB Zone,KWH Reading,Consumption,P_F,Parts Produced,Molten Metal,Batch ID,Cost of Energy,KWH_Tonne,KWH_part
1210,9,2024-08-07,SP2,Sand_Plant,Zone C,19340,81,0.86,89.0,0.0,0,729,0.0,0.9101123595505618
1211,10,2024-08-07,SP2,Sand_Plant,Zone C,19423,83,0.98,82.0,0.0,0,747,0.0,1.01219512195122
1212,11,2024-08-07,SP2,Sand_Plant,Zone C,19518,95,0.91,82.0,0.0,0,855,0.0,1.158536585365854
1213,12,2024-08-07,SP2,Sand_Plant,Zone B,19604,86,0.9,85.0,0.0,0,602,0.0,1.011764705882353
1214,13,2024-08-07,SP2,Sand_Plant,Zone B,19700,96,0.85,85.0,0.0,0,672,0.0,1.129411764705882
1215,14,2024-08-07,SP2,Sand_Plant,Zone B,19783,83,0.96,85.0,0.0,0,581,0.0,0.9764705882352941
1216,15,2024-08-07,SP2,Sand_Plant,Zone B,19867,84,0.97,90.0,0.0,0,588,0.0,0.9333333333333333
1217,16,2024-08-07,SP2,Sand_Plant,Zone B,19952,85,0.92,87.0,0.0,0,595,0.0,0.9770114942528736
1218,17,2024-08-07,SP2,Sand_Plant,Zone B,20039,87,0.91,90.0,0.0,0,609,0.0,0.9666666666666667
1219,18,2024-08-07,SP2,Sand_Plant,Zone D,20129,90,0.82,86.0,0.0,0,990,0.0,1.046511627906977
1220,19,2024-08-07,SP2,Sand_Plant,Zone D,20212,83,0.91,81.0,0.0,0,913,0.0,1.024691358024691
1221,20,2024-08-07,SP2,Sand_Plant,Zone D,20307,95,0.88,90.0,0.0,0,1045,0.0,1.055555555555556
1222,21,2024-08-07,SP2,Sand_Plant,Zone D,20404,97,0.84,83.0,0.0,0,1067,0.0,1.168674698795181
1223,22,2024-08-07,SP2,Sand_Plant,Zone A,20489,85,0.87,89.0,0.0,0,425,0.0,0.9550561797752809
1224,23,2024-08-07,SP2,Sand_Plant,Zone A,20572,83,0.9,84.0,0.0,0,415,0.0,0.9880952380952381
1225,0,2024-08-08,SP2,Sand_Plant,Zone A,20659,87,0.84,83.0,0.0,0,435,0.0,1.048192771084337
1226,1,2024-08-08,SP2,Sand_Plant,Zone A,20751,92,0.96,87.0,0.0,0,460,0.0,1.057471264367816
1227,2,2024-08-08,SP2,Sand_Plant,Zone A,20845,94,0.87,86.0,0.0,0,470,0.0,1.093023255813953
1228,3,2024-08-08,SP2,Sand_Plant,Zone A,20931,86,0.85,83.0,0.0,0,430,0.0,1.036144578313253
1229,4,2024-08-08,SP2,Sand_Plant,Zone A,21028,97,0.91,88.0,0.0,0,485,0.0,1.102272727272727
1230,5,2024-08-08,SP2,Sand_Plant,Zone A,21128,100,0.93,87.0,0.0,0,500,0.0,1.149425287356322
1231,6,2024-08-08,SP2,Sand_Plant,Zone B,21226,98,0.87,87.0,0.0,0,686,0.0,1.126436781609195
1232,7,2024-08-08,SP2,Sand_Plant,Zone B,21306,80,0.94,89.0,0.0,0,560,0.0,0.898876404494382
1233,8,2024-08-08,SP2,Sand_Plant,Zone B,21403,97,0.82,80.0,0.0,0,679,0.0,1.2125
1234,9,2024-08-08,SP2,Sand_Plant,Zone C,21485,82,0.97,82.0,0.0,0,738,0.0,1.0
1235,10,2024-08-08,SP2,Sand_Plant,Zone C,21566,81,0.86,80.0,0.0,0,729,0.0,1.0125
1236,11,2024-08-08,SP2,Sand_Plant,Zone C,21652,86,0.94,90.0,0.0,0,774,0.0,0.9555555555555556
1237,12,2024-08-08,SP2,Sand_Plant,Zone B,21744,92,0.8,90.0,0.0,0,644,0.0,1.022222222222222
1238,13,2024-08-08,SP2,Sand_Plant,Zone B,21833,89,0.8,80.0,0.0,0,623,0.0,1.1125
1239,14,2024-08-08,SP2,Sand_Plant,Zone B,21913,80,0.99,83.0,0.0,0,560,0.0,0.963855421686747
1240,15,2024-08-08,SP2,Sand_Plant,Zone B,22001,88,0.85,89.0,0.0,0,616,0.0,0.9887640449438202
1241,16,2024-08-08,SP2,Sand_Plant,Zone B,22091,90,0.83,90.0,0.0,0,630,0.0,1.0
1242,17,2024-08-08,SP2,Sand_Plant,Zone B,22182,91,0.89,82.0,0.0,0,637,0.0,1.109756097560976
1243,18,2024-08-08,SP2,Sand_Plant,Zone D,22281,99,0.81,85.0,0.0,0,1089,0.0,1.164705882352941
1244,19,2024-08-08,SP2,Sand_Plant,Zone D,22362,81,0.98,83.0,0.0,0,891,0.0,0.9759036144578314
1245,20,2024-08-08,SP2,Sand_Plant,Zone D,22443,81,0.84,90.0,0.0,0,891,0.0,0.9
1246,21,2024-08-08,SP2,Sand_Plant,Zone D,22543,100,0.85,88.0,0.0,0,1100,0.0,1.136363636363636
1247,22,2024-08-08,SP2,Sand_Plant,Zone A,22632,89,0.83,82.0,0.0,0,445,0.0,1.085365853658537
1248,23,2024-08-08,SP2,Sand_Plant,Zone A,22722,90,0.96,85.0,0.0,0,450,0.0,1.058823529411765
1249,0,2024-08-09,SP2,Sand_Plant,Zone A,22808,86,0.92,81.0,0.0,0,430,0.0,1.061728395061728
1250,1,2024-08-09,SP2,Sand_Plant,Zone A,22896,88,0.85,83.0,0.0,0,440,0.0,1.060240963855422
1251,2,2024-08-09,SP2,Sand_Plant,Zone A,22991,95,0.92,85.0,0.0,0,475,0.0,1.117647058823529
1252,3,2024-08-09,SP2,Sand_Plant,Zone A,23083,92,0.9,90.0,0.0,0,460,0.0,1.022222222222222
1253,4,2024-08-09,SP2,Sand_Plant,Zone A,23181,98,0.83,89.0,0.0,0,490,0.0,1.101123595505618
1254,5,2024-08-09,SP2,Sand_Plant,Zone A,23261,80,0.89,83.0,0.0,0,400,0.0,0.963855421686747
1255,6,2024-08-09,SP2,Sand_Plant,Zone B,23351,90,0.96,89.0,0.0,0,630,0.0,1.01123595505618
1256,7,2024-08-09,SP2,Sand_Plant,Zone B,23439,88,0.99,85.0,0.0,0,616,0.0,1.035294117647059
1257,8,2024-08-09,SP2,Sand_Plant,Zone B,23536,97,0.9,90.0,0.0,0,679,0.0,1.077777777777778
1258,9,2024-08-09,SP2,Sand_Plant,Zone C,23633,97,0.83,83.0,0.0,0,873,0.0,1.168674698795181
1259,10,2024-08-09,SP2,Sand_Plant,Zone C,23727,94,0.83,90.0,0.0,0,846,0.0,1.044444444444445
1260,11,2024-08-09,SP2,Sand_Plant,Zone C,23816,89,0.99,87.0,0.0,0,801,0.0,1.022988505747126
1261,12,2024-08-09,SP2,Sand_Plant,Zone B,23902,86,0.91,84.0,0.0,0,602,0.0,1.023809523809524
1262,13,2024-08-09,SP2,Sand_Plant,Zone B,23996,94,0.9,90.0,0.0,0,658,0.0,1.044444444444445
1263,14,2024-08-09,SP2,Sand_Plant,Zone B,24093,97,0.81,83.0,0.0,0,679,0.0,1.168674698795181
1264,15,2024-08-09,SP2,Sand_Plant,Zone B,24191,98,0.9,87.0,0.0,0,686,0.0,1.126436781609195
1265,16,2024-08-09,SP2,Sand_Plant,Zone B,24289,98,1.0,86.0,0.0,0,686,0.0,1.13953488372093
1266,17,2024-08-09,SP2,Sand_Plant,Zone B,24382,93,0.99,82.0,0.0,0,651,0.0,1.134146341463415
1267,18,2024-08-09,SP2,Sand_Plant,Zone D,24471,89,1.0,82.0,0.0,0,979,0.0,1.085365853658537
1268,19,2024-08-09,SP2,Sand_Plant,Zone D,24558,87,0.98,88.0,0.0,0,957,0.0,0.9886363636363636
1269,20,2024-08-09,SP2,Sand_Plant,Zone D,24641,83,0.91,85.0,0.0,0,913,0.0,0.9764705882352941
1270,21,2024-08-09,SP2,Sand_Plant,Zone D,24727,86,1.0,89.0,0.0,0,946,0.0,0.9662921348314607
1271,22,2024-08-09,SP2,Sand_Plant,Zone A,24811,84,0.91,87.0,0.0,0,420,0.0,0.9655172413793104
1272,23,2024-08-09,SP2,Sand_Plant,Zone A,24903,92,0.98,88.0,0.0,0,460,0.0,1.045454545454545
1273,0,2024-08-10,SP2,Sand_Plant,Zone A,24995,92,0.82,84.0,0.0,0,460,0.0,1.095238095238095
1274,1,2024-08-10,SP2,Sand_Plant,Zone A,25084,89,0.94,82.0,0.0,0,445,0.0,1.085365853658537
1275,2,2024-08-10,SP2,Sand_Plant,Zone A,25165,81,0.89,84.0,0.0,0,405,0.0,0.9642857142857143
1276,3,2024-08-10,SP2,Sand_Plant,Zone A,25245,80,0.82,85.0,0.0,0,400,0.0,0.9411764705882353
1277,4,2024-08-10,SP2,Sand_Plant,Zone A,25325,80,1.0,89.0,0.0,0,400,0.0,0.898876404494382
1278,5,2024-08-10,SP2,Sand_Plant,Zone A,25416,91,0.86,82.0,0.0,0,455,0.0,1.109756097560976
1279,6,2024-08-10,SP2,Sand_Plant,Zone B,25513,97,0.97,86.0,0.0,0,679,0.0,1.127906976744186
1280,7,2024-08-10,SP2,Sand_Plant,Zone B,25610,97,0.95,89.0,0.0,0,679,0.0,1.089887640449438
1281,8,2024-08-10,SP2,Sand_Plant,Zone B,25709,99,0.99,89.0,0.0,0,693,0.0,1.112359550561798
1282,9,2024-08-10,SP2,Sand_Plant,Zone C,25802,93,0.88,82.0,0.0,0,837,0.0,1.134146341463415
1283,10,2024-08-10,SP2,Sand_Plant,Zone C,25893,91,0.93,87.0,0.0,0,819,0.0,1.045977011494253
1284,11,2024-08-10,SP2,Sand_Plant,Zone C,25974,81,0.83,85.0,0.0,0,729,0.0,0.9529411764705882
1285,12,2024-08-10,SP2,Sand_Plant,Zone B,26059,85,0.84,87.0,0.0,0,595,0.0,0.9770114942528736
1286,13,2024-08-10,SP2,Sand_Plant,Zone B,26141,82,0.97,87.0,0.0,0,574,0.0,0.9425287356321839
1287,14,2024-08-10,SP2,Sand_Plant,Zone B,26227,86,0.91,88.0,0.0,0,602,0.0,0.9772727272727273
1288,15,2024-08-10,SP2,Sand_Plant,Zone B,26326,99,0.91,82.0,0.0,0,693,0.0,1.207317073170732
1289,16,2024-08-10,SP2,Sand_Plant,Zone B,26421,95,0.83,86.0,0.0,0,665,0.0,1.104651162790698
1290,17,2024-08-10,SP2,Sand_Plant,Zone B,26509,88,0.82,82.0,0.0,0,616,0.0,1.073170731707317
1291,18,2024-08-10,SP2,Sand_Plant,Zone D,26590,81,0.99,87.0,0.0,0,891,0.0,0.9310344827586207
1292,19,2024-08-10,SP2,Sand_Plant,Zone D,26680,90,0.94,85.0,0.0,0,990,0.0,1.058823529411765
1293,20,2024-08-10,SP2,Sand_Plant,Zone D,26769,89,0.86,80.0,0.0,0,979,0.0,1.1125
1294,21,2024-08-10,SP2,Sand_Plant,Zone D,26855,86,0.88,90.0,0.0,0,946,0.0,0.9555555555555556
1295,22,2024-08-10,SP2,Sand_Plant,Zone A,26945,90,0.84,81.0,0.0,0,450,0.0,1.111111111111111
1296,23,2024-08-10,SP2,Sand_Plant,Zone A,27039,94,0.92,90.0,0.0,0,470,0.0,1.044444444444445
1297,0,2024-08-11,SP2,Sand_Plant,Zone A,27124,85,0.83,82.0,0.0,0,425,0.0,1.036585365853659
1298,1,2024-08-11,SP2,Sand_Plant,Zone A,27218,94,0.85,89.0,0.0,0,470,0.0,1.056179775280899
1299,2,2024-08-11,SP2,Sand_Plant,Zone A,27313,95,0.88,81.0,0.0,0,475,0.0,1.17283950617284
1300,3,2024-08-11,SP2,Sand_Plant,Zone A,27409,96,0.8,81.0,0.0,0,480,0.0,1.185185185185185
1301,4,2024-08-11,SP2,Sand_Plant,Zone A,27492,83,0.95,81.0,0.0,0,415,0.0,1.024691358024691
1302,5,2024-08-11,SP2,Sand_Plant,Zone A,27572,80,0.87,83.0,0.0,0,400,0.0,0.963855421686747
1303,6,2024-08-11,SP2,Sand_Plant,Zone B,27665,93,0.87,82.0,0.0,0,651,0.0,1.134146341463415
1304,7,2024-08-11,SP2,Sand_Plant,Zone B,27751,86,0.99,83.0,0.0,0,602,0.0,1.036144578313253
1305,8,2024-08-11,SP2,Sand_Plant,Zone B,27849,98,0.8,83.0,0.0,0,686,0.0,1.180722891566265
1306,9,2024-08-11,SP2,Sand_Plant,Zone C,27931,82,0.81,89.0,0.0,0,738,0.0,0.9213483146067416
1307,10,2024-08-11,SP2,Sand_Plant,Zone C,28016,85,0.81,84.0,0.0,0,765,0.0,1.011904761904762
1308,11,2024-08-11,SP2,Sand_Plant,Zone C,28116,100,0.81,80.0,0.0,0,900,0.0,1.25
1309,12,2024-08-11,SP2,Sand_Plant,Zone B,28207,91,0.85,87.0,0.0,0,637,0.0,1.045977011494253
1310,13,2024-08-11,SP2,Sand_Plant,Zone B,28289,82,0.95,89.0,0.0,0,574,0.0,0.9213483146067416
1311,14,2024-08-11,SP2,Sand_Plant,Zone B,28384,95,0.81,88.0,0.0,0,665,0.0,1.079545454545455
1312,15,2024-08-11,SP2,Sand_Plant,Zone B,28466,82,0.83,87.0,0.0,0,574,0.0,0.9425287356321839
1313,16,2024-08-11,SP2,Sand_Plant,Zone B,28548,82,0.82,87.0,0.0,0,574,0.0,0.9425287356321839
1314,17,2024-08-11,SP2,Sand_Plant,Zone B,28642,94,0.82,86.0,0.0,0,658,0.0,1.093023255813953
1315,18,2024-08-11,SP2,Sand_Plant,Zone D,28734,92,0.84,81.0,0.0,0,1012,0.0,1.135802469135802
1316,19,2024-08-11,SP2,Sand_Plant,Zone D,28830,96,0.81,89.0,0.0,0,1056,0.0,1.078651685393258
1317,20,2024-08-11,SP2,Sand_Plant,Zone D,28918,88,0.86,85.0,0.0,0,968,0.0,1.035294117647059
1318,21,2024-08-11,SP2,Sand_Plant,Zone D,29004,86,0.97,83.0,0.0,0,946,0.0,1.036144578313253
1319,22,2024-08-11,SP2,Sand_Plant,Zone A,29104,100,0.81,88.0,0.0,0,500,0.0,1.136363636363636
1320,23,2024-08-11,SP2,Sand_Plant,Zone A,29187,83,0.92,83.0,0.0,0,415,0.0,1.0
1321,0,2024-08-12,SP2,Sand_Plant,Zone A,29283,96,0.97,84.0,0.0,0,480,0.0,1.142857142857143
1322,1,2024-08-12,SP2,Sand_Plant,Zone A,29382,99,0.88,84.0,0.0,0,495,0.0,1.178571428571429
1323,2,2024-08-12,SP2,Sand_Plant,Zone A,29475,93,0.94,85.0,0.0,0,465,0.0,1.094117647058824
1324,3,2024-08-12,SP2,Sand_Plant,Zone A,29565,90,1.0,88.0,0.0,0,450,0.0,1.022727272727273
1325,4,2024-08-12,SP2,Sand_Plant,Zone A,29646,81,0.92,89.0,0.0,0,405,0.0,0.9101123595505618
1326,5,2024-08-12,SP2,Sand_Plant,Zone A,29726,80,0.91,87.0,0.0,0,400,0.0,0.9195402298850575
1327,6,2024-08-12,SP2,Sand_Plant,Zone B,29824,98,0.89,88.0,0.0,0,686,0.0,1.113636363636364
1328,7,2024-08-12,SP2,Sand_Plant,Zone B,29920,96,0.9,90.0,0.0,0,672,0.0,1.066666666666667
1329,8,2024-08-12,SP2,Sand_Plant,Zone B,30009,89,0.93,81.0,0.0,0,623,0.0,1.098765432098765
1330,9,2024-08-12,SP2,Sand_Plant,Zone C,30091,82,0.86,83.0,0.0,0,738,0.0,0.9879518072289156
1331,10,2024-08-12,SP2,Sand_Plant,Zone C,30181,90,0.91,80.0,0.0,0,810,0.0,1.125
1332,11,2024-08-12,SP2,Sand_Plant,Zone C,30268,87,0.93,81.0,0.0,0,783,0.0,1.074074074074074
1333,12,2024-08-12,SP2,Sand_Plant,Zone B,30355,87,0.86,82.0,0.0,0,609,0.0,1.060975609756098
1334,13,2024-08-12,SP2,Sand_Plant,Zone B,30454,99,0.94,88.0,0.0,0,693,0.0,1.125
1335,14,2024-08-12,SP2,Sand_Plant,Zone B,30548,94,0.88,81.0,0.0,0,658,0.0,1.160493827160494
1336,15,2024-08-12,SP2,Sand_Plant,Zone B,30642,94,0.81,81.0,0.0,0,658,0.0,1.160493827160494
1337,16,2024-08-12,SP2,Sand_Plant,Zone B,30722,80,0.95,88.0,0.0,0,560,0.0,0.9090909090909091
1338,17,2024-08-12,SP2,Sand_Plant,Zone B,30817,95,0.98,89.0,0.0,0,665,0.0,1.067415730337079
1339,18,2024-08-12,SP2,Sand_Plant,Zone D,30900,83,0.8,87.0,0.0,0,913,0.0,0.9540229885057471
1340,19,2024-08-12,SP2,Sand_Plant,Zone D,30997,97,0.83,82.0,0.0,0,1067,0.0,1.182926829268293
1341,20,2024-08-12,SP2,Sand_Plant,Zone D,31084,87,0.98,88.0,0.0,0,957,0.0,0.9886363636363636
1342,21,2024-08-12,SP2,Sand_Plant,Zone D,31175,91,0.9,85.0,0.0,0,1001,0.0,1.070588235294118
1343,22,2024-08-12,SP2,Sand_Plant,Zone A,31272,97,0.98,85.0,0.0,0,485,0.0,1.141176470588235
1344,23,2024-08-12,SP2,Sand_Plant,Zone A,31368,96,0.88,88.0,0.0,0,480,0.0,1.090909090909091
1345,0,2024-07-30,SP3,Sand_Plant,Zone A,1446,30,0.24,38.0,0.0,0,150,0.0,0.7894736842105263
1346,1,2024-07-30,SP3,Sand_Plant,Zone A,1476,30,0.3,31.0,0.0,0,150,0.0,0.967741935483871
1347,2,2024-07-30,SP3,Sand_Plant,Zone A,1511,35,0.38,33.0,0.0,0,175,0.0,1.060606060606061
1348,3,2024-07-30,SP3,Sand_Plant,Zone A,1546,35,0.2,36.0,0.0,0,175,0.0,0.9722222222222222
1349,4,2024-07-30,SP3,Sand_Plant,Zone A,1575,29,0.43,40.0,0.0,0,145,0.0,0.725
1350,5,2024-07-30,SP3,Sand_Plant,Zone A,1619,44,0.25,34.0,0.0,0,220,0.0,1.294117647058824
1351,6,2024-07-30,SP3,Sand_Plant,Zone B,1644,25,0.22,30.0,0.0,0,175,0.0,0.8333333333333334
1352,7,2024-07-30,SP3,Sand_Plant,Zone B,1689,45,0.21,38.0,0.0,0,315,0.0,1.184210526315789
1353,8,2024-07-30,SP3,Sand_Plant,Zone B,1709,20,0.2,32.0,0.0,0,140,0.0,0.625
1354,9,2024-07-30,SP3,Sand_Plant,Zone C,1734,25,0.37,38.0,0.0,0,225,0.0,0.6578947368421053
1355,10,2024-07-30,SP3,Sand_Plant,Zone C,1765,31,0.25,35.0,0.0,0,279,0.0,0.8857142857142857
1356,11,2024-07-30,SP3,Sand_Plant,Zone C,1792,27,0.3,40.0,0.0,0,243,0.0,0.675
1357,12,2024-07-30,SP3,Sand_Plant,Zone B,1827,35,0.32,35.0,0.0,0,245,0.0,1.0
1358,13,2024-07-30,SP3,Sand_Plant,Zone B,1851,24,0.26,36.0,0.0,0,168,0.0,0.6666666666666666
1359,14,2024-07-30,SP3,Sand_Plant,Zone B,1879,28,0.45,37.0,0.0,0,196,0.0,0.7567567567567568
1360,15,2024-07-30,SP3,Sand_Plant,Zone B,1902,23,0.39,36.0,0.0,0,161,0.0,0.6388888888888888
1361,16,2024-07-30,SP3,Sand_Plant,Zone B,1924,22,0.41,34.0,0.0,0,154,0.0,0.6470588235294118
1362,17,2024-07-30,SP3,Sand_Plant,Zone B,1948,24,0.22,31.0,0.0,0,168,0.0,0.7741935483870968
1363,18,2024-07-30,SP3,Sand_Plant,Zone D,1983,35,0.2,30.0,0.0,0,385,0.0,1.166666666666667
1364,19,2024-07-30,SP3,Sand_Plant,Zone D,2019,36,0.37,39.0,0.0,0,396,0.0,0.9230769230769231
1365,20,2024-07-30,SP3,Sand_Plant,Zone D,2064,45,0.22,33.0,0.0,0,495,0.0,1.363636363636364
1366,21,2024-07-30,SP3,Sand_Plant,Zone D,2096,32,0.4,33.0,0.0,0,352,0.0,0.9696969696969697
1367,22,2024-07-30,SP3,Sand_Plant,Zone A,2117,21,0.27,32.0,0.0,0,105,0.0,0.65625
1368,23,2024-07-30,SP3,Sand_Plant,Zone A,2146,29,0.38,38.0,0.0,0,145,0.0,0.7631578947368421
1369,0,2024-07-31,SP3,Sand_Plant,Zone A,2183,37,0.43,37.0,0.0,0,185,0.0,1.0
1370,1,2024-07-31,SP3,Sand_Plant,Zone A,2206,23,0.28,32.0,0.0,0,115,0.0,0.71875
1371,2,2024-07-31,SP3,Sand_Plant,Zone A,2247,41,0.28,35.0,0.0,0,205,0.0,1.171428571428571
1372,3,2024-07-31,SP3,Sand_Plant,Zone A,2277,30,0.44,32.0,0.0,0,150,0.0,0.9375
1373,4,2024-07-31,SP3,Sand_Plant,Zone A,2298,21,0.44,35.0,0.0,0,105,0.0,0.6
1374,5,2024-07-31,SP3,Sand_Plant,Zone A,2324,26,0.26,32.0,0.0,0,130,0.0,0.8125
1375,6,2024-07-31,SP3,Sand_Plant,Zone B,2363,39,0.35,34.0,0.0,0,273,0.0,1.147058823529412
1376,7,2024-07-31,SP3,Sand_Plant,Zone B,2393,30,0.24,39.0,0.0,0,210,0.0,0.7692307692307693
1377,8,2024-07-31,SP3,Sand_Plant,Zone B,2434,41,0.23,39.0,0.0,0,287,0.0,1.051282051282051
1378,9,2024-07-31,SP3,Sand_Plant,Zone C,2463,29,0.31,32.0,0.0,0,261,0.0,0.90625
1379,10,2024-07-31,SP3,Sand_Plant,Zone C,2490,27,0.27,30.0,0.0,0,243,0.0,0.9
1380,11,2024-07-31,SP3,Sand_Plant,Zone C,2527,37,0.39,40.0,0.0,0,333,0.0,0.925
1381,12,2024-07-31,SP3,Sand_Plant,Zone B,2561,34,0.21,37.0,0.0,0,238,0.0,0.918918918918919
1382,13,2024-07-31,SP3,Sand_Plant,Zone B,2605,44,0.26,40.0,0.0,0,308,0.0,1.1
1383,14,2024-07-31,SP3,Sand_Plant,Zone B,2643,38,0.24,39.0,0.0,0,266,0.0,0.9743589743589743
1384,15,2024-07-31,SP3,Sand_Plant,Zone B,2688,45,0.33,30.0,0.0,0,315,0.0,1.5
1385,16,2024-07-31,SP3,Sand_Plant,Zone B,2709,21,0.24,34.0,0.0,0,147,0.0,0.6176470588235294
1386,17,2024-07-31,SP3,Sand_Plant,Zone B,2745,36,0.26,38.0,0.0,0,252,0.0,0.9473684210526315
1387,18,2024-07-31,SP3,Sand_Plant,Zone D,2767,22,0.38,30.0,0.0,0,242,0.0,0.7333333333333333
1388,19,2024-07-31,SP3,Sand_Plant,Zone D,2807,40,0.21,36.0,0.0,0,440,0.0,1.111111111111111
1389,20,2024-07-31,SP3,Sand_Plant,Zone D,2830,23,0.44,37.0,0.0,0,253,0.0,0.6216216216216216
1390,21,2024-07-31,SP3,Sand_Plant,Zone D,2867,37,0.32,36.0,0.0,0,407,0.0,1.027777777777778
1391,22,2024-07-31,SP3,Sand_Plant,Zone A,2911,44,0.43,37.0,0.0,0,220,0.0,1.189189189189189
1392,23,2024-07-31,SP3,Sand_Plant,Zone A,2945,34,0.29,40.0,0.0,0,170,0.0,0.85
1393,0,2024-08-01,SP3,Sand_Plant,Zone A,2981,36,0.21,40.0,0.0,0,180,0.0,0.9
1394,1,2024-08-01,SP3,Sand_Plant,Zone A,3005,24,0.45,39.0,0.0,0,120,0.0,0.6153846153846154
1395,2,2024-08-01,SP3,Sand_Plant,Zone A,3035,30,0.23,40.0,0.0,0,150,0.0,0.75
1396,3,2024-08-01,SP3,Sand_Plant,Zone A,3058,23,0.45,36.0,0.0,0,115,0.0,0.6388888888888888
1397,4,2024-08-01,SP3,Sand_Plant,Zone A,3093,35,0.28,36.0,0.0,0,175,0.0,0.9722222222222222
1398,5,2024-08-01,SP3,Sand_Plant,Zone A,3136,43,0.36,34.0,0.0,0,215,0.0,1.264705882352941
1399,6,2024-08-01,SP3,Sand_Plant,Zone B,3178,42,0.35,33.0,0.0,0,294,0.0,1.272727272727273
1400,7,2024-08-01,SP3,Sand_Plant,Zone B,3213,35,0.36,34.0,0.0,0,245,0.0,1.029411764705882
1401,8,2024-08-01,SP3,Sand_Plant,Zone B,3251,38,0.41,37.0,0.0,0,266,0.0,1.027027027027027
1402,9,2024-08-01,SP3,Sand_Plant,Zone C,3278,27,0.38,36.0,0.0,0,243,0.0,0.75
1403,10,2024-08-01,SP3,Sand_Plant,Zone C,3318,40,0.31,34.0,0.0,0,360,0.0,1.176470588235294
1404,11,2024-08-01,SP3,Sand_Plant,Zone C,3357,39,0.21,36.0,0.0,0,351,0.0,1.083333333333333
1405,12,2024-08-01,SP3,Sand_Plant,Zone B,3377,20,0.35,32.0,0.0,0,140,0.0,0.625
1406,13,2024-08-01,SP3,Sand_Plant,Zone B,3418,41,0.41,33.0,0.0,0,287,0.0,1.242424242424242
1407,14,2024-08-01,SP3,Sand_Plant,Zone B,3447,29,0.24,31.0,0.0,0,203,0.0,0.9354838709677419
1408,15,2024-08-01,SP3,Sand_Plant,Zone B,3484,37,0.31,39.0,0.0,0,259,0.0,0.9487179487179487
1409,16,2024-08-01,SP3,Sand_Plant,Zone B,3518,34,0.27,38.0,0.0,0,238,0.0,0.8947368421052632
1410,17,2024-08-01,SP3,Sand_Plant,Zone B,3544,26,0.29,33.0,0.0,0,182,0.0,0.7878787878787878
1411,18,2024-08-01,SP3,Sand_Plant,Zone D,3575,31,0.28,39.0,0.0,0,341,0.0,0.7948717948717948
1412,19,2024-08-01,SP3,Sand_Plant,Zone D,3598,23,0.24,33.0,0.0,0,253,0.0,0.696969696969697
1413,20,2024-08-01,SP3,Sand_Plant,Zone D,3630,32,0.43,33.0,0.0,0,352,0.0,0.9696969696969697
1414,21,2024-08-01,SP3,Sand_Plant,Zone D,3673,43,0.25,31.0,0.0,0,473,0.0,1.387096774193548
1415,22,2024-08-01,SP3,Sand_Plant,Zone A,3696,23,0.4,39.0,0.0,0,115,0.0,0.5897435897435898
1416,23,2024-08-01,SP3,Sand_Plant,Zone A,3729,33,0.23,32.0,0.0,0,165,0.0,1.03125
1417,0,2024-08-02,SP3,Sand_Plant,Zone A,3767,38,0.36,39.0,0.0,0,190,0.0,0.9743589743589743
1418,1,2024-08-02,SP3,Sand_Plant,Zone A,3796,29,0.35,32.0,0.0,0,145,0.0,0.90625
1419,2,2024-08-02,SP3,Sand_Plant,Zone A,3819,23,0.31,36.0,0.0,0,115,0.0,0.6388888888888888
1420,3,2024-08-02,SP3,Sand_Plant,Zone A,3855,36,0.24,38.0,0.0,0,180,0.0,0.9473684210526315
1421,4,2024-08-02,SP3,Sand_Plant,Zone A,3887,32,0.36,34.0,0.0,0,160,0.0,0.9411764705882353
1422,5,2024-08-02,SP3,Sand_Plant,Zone A,3913,26,0.44,33.0,0.0,0,130,0.0,0.7878787878787878
1423,6,2024-08-02,SP3,Sand_Plant,Zone B,3939,26,0.23,40.0,0.0,0,182,0.0,0.65
1424,7,2024-08-02,SP3,Sand_Plant,Zone B,3965,26,0.34,38.0,0.0,0,182,0.0,0.6842105263157895
1425,8,2024-08-02,SP3,Sand_Plant,Zone B,3989,24,0.4,32.0,0.0,0,168,0.0,0.75
1426,9,2024-08-02,SP3,Sand_Plant,Zone C,4034,45,0.35,30.0,0.0,0,405,0.0,1.5
1427,10,2024-08-02,SP3,Sand_Plant,Zone C,4073,39,0.39,39.0,0.0,0,351,0.0,1.0
1428,11,2024-08-02,SP3,Sand_Plant,Zone C,4094,21,0.29,36.0,0.0,0,189,0.0,0.5833333333333334
1429,12,2024-08-02,SP3,Sand_Plant,Zone B,4131,37,0.21,36.0,0.0,0,259,0.0,1.027777777777778
1430,13,2024-08-02,SP3,Sand_Plant,Zone B,4172,41,0.35,38.0,0.0,0,287,0.0,1.078947368421053
1431,14,2024-08-02,SP3,Sand_Plant,Zone B,4200,28,0.43,37.0,0.0,0,196,0.0,0.7567567567567568
1432,15,2024-08-02,SP3,Sand_Plant,Zone B,4243,43,0.31,39.0,0.0,0,301,0.0,1.102564102564103
1433,16,2024-08-02,SP3,Sand_Plant,Zone B,4281,38,0.4,40.0,0.0,0,266,0.0,0.95
1434,17,2024-08-02,SP3,Sand_Plant,Zone B,4301,20,0.43,34.0,0.0,0,140,0.0,0.5882352941176471
